event_id,event_name,ba,region,days,hours,peak_hour_pct_error_mean,peak_hour_abs_pct_error_mean,worst_under_forecast_pct,under_forecast_day_share,mean_demand_mw,imputed_share,hours_implausible,mape,bias_pct,rmse_mw
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),AECI,MIDW,5,120,-0.038239,0.038239,-0.065101,1.000000,5193.775000,0.000000,0,0.030641,-0.028934,196.406339
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),AVA,NW,5,120,-0.048134,0.048134,-0.073714,1.000000,2229.500000,0.000000,0,0.038253,-0.032120,99.883140
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),BPAT,NW,5,120,0.019278,0.039723,-0.032881,0.400000,9754.266667,0.000000,0,0.037637,0.010616,444.020955
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),CHPD,NW,5,120,-0.042984,0.047090,-0.064572,0.800000,497.200000,0.000000,0,0.047099,-0.042085,27.951744
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),DOPD,NW,5,120,-0.067383,0.076060,-0.110307,0.800000,471.650000,0.000000,0,0.063760,-0.056869,39.432326
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),ERCO,TEX,5,120,0.019903,0.057606,-0.094257,0.200000,64880.825000,0.000000,0,0.045347,-0.001790,3546.344236
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),GCPD,NW,5,120,-0.033334,0.034211,-0.071211,0.800000,905.241667,0.000000,0,0.032272,-0.028262,42.276570
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),IPCO,NW,5,120,0.005383,0.020022,-0.036599,0.200000,2525.783333,0.000000,0,0.019593,0.011052,64.679724
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),LGEE,MIDW,5,120,-0.106800,0.106800,-0.137641,1.000000,5994.675000,0.000000,0,0.100636,-0.100636,620.897777
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),MISO,MIDW,5,120,-0.008039,0.009833,-0.018552,0.800000,89629.533333,0.000000,0,0.017086,-0.012628,1864.098875
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),NEVP,NW,5,120,-0.031248,0.032066,-0.057168,0.800000,4042.791667,0.000000,0,0.039058,-0.038990,187.175319
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),NWMT,NW,5,120,-0.019683,0.027131,-0.067340,0.800000,1862.350000,0.000000,0,0.020840,-0.009240,54.754604
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),PACE,NW,5,120,0.045881,0.045881,0.006323,0.000000,6347.616667,0.000000,0,0.054025,0.053591,396.991278
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),PACW,NW,5,120,-0.012742,0.056683,-0.132260,0.600000,3323.350000,0.000000,0,0.031389,-0.007280,147.331655
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),PGE,NW,5,120,-0.010181,0.026698,-0.036167,0.800000,3446.458333,0.000000,0,0.017999,-0.004465,82.971230
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),PJM,MIDA,5,120,-0.024306,0.024306,-0.067190,1.000000,110201.833333,0.000000,0,0.036295,-0.017584,5003.908554
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),PSCO,NW,5,120,-0.035661,0.035661,-0.089950,1.000000,6160.741667,0.000000,0,0.035038,-0.022121,271.579961
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),PSEI,NW,5,120,-0.461009,0.461009,-0.492280,1.000000,4413.941667,0.000000,0,0.383345,-0.383345,1772.360867
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),SCL,NW,5,120,-0.071573,0.071573,-0.093494,1.000000,1668.766667,0.000000,0,0.069954,-0.069954,129.554975
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),SOCO,SE,5,120,-0.003659,0.004259,-0.007558,0.800000,32011.500000,0.000000,0,0.012751,-0.012625,543.901393
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),SPA,CENT,3,69,0.540433,0.540433,0.150943,0.000000,31.458333,0.000000,3,1.080293,1.080293,32.981769
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),SWPP,CENT,5,120,-0.078461,0.078571,-0.171021,0.800000,43919.483333,0.000000,0,0.076578,-0.065568,4375.254611
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),TPWR,NW,5,120,-0.047589,0.058653,-0.103672,0.800000,819.933333,0.000000,0,0.038894,-0.003105,39.968217
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),WACM,NW,5,120,-0.169825,0.169825,-0.184145,1.000000,4407.891667,0.000000,0,0.176397,-0.163489,817.896453
arctic_2024,January 2024 Arctic storms (incl. Winter Storm Heather),WAUW,NW,5,120,-0.014678,0.057682,-0.113333,0.400000,130.100000,0.000000,0,0.056710,0.009237,8.762610
cold_jan_2025,January 2025 cold wave,AECI,MIDW,6,144,-0.007801,0.007980,-0.014067,0.833333,4264.326389,0.000000,0,0.012710,-0.002414,67.726523
cold_jan_2025,January 2025 cold wave,ERCO,TEX,6,144,0.003311,0.019878,-0.025197,0.333333,63403.611111,0.000000,0,0.039907,0.027829,3132.946580
cold_jan_2025,January 2025 cold wave,ISNE,NE,6,144,0.004290,0.004466,-0.000529,0.166667,16155.597222,0.000000,0,0.012479,-0.007609,245.845169
cold_jan_2025,January 2025 cold wave,LGEE,MIDW,6,144,-0.081812,0.081812,-0.136770,1.000000,6175.458333,0.000000,0,0.078156,-0.078156,527.791843
cold_jan_2025,January 2025 cold wave,MISO,MIDW,6,144,-0.013812,0.026596,-0.047460,0.500000,91864.104167,0.000000,0,0.029280,-0.007621,3146.100267
cold_jan_2025,January 2025 cold wave,NYIS,NY,6,144,-0.035144,0.035144,-0.043081,1.000000,20105.333333,0.000000,0,0.041448,-0.041448,907.515220
